objid,specObjID,distance_arcmin,IAUName,dec,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world,ra,dec1,objid1,band,id,img,nuv_flux1,nuv_fluxerr,nuv_mag1,nuv_magerr,fuv_flux1,fuv_fluxerr,fuv_mag1,fuv_magerr,nuv_skybg,fuv_skybg
6380802579077530534,0,1.00519629052255,GALEX J005358.4-282416,-28.4046865275831,-999,21.51079,-999,9.029878,0.018034,False,-99,0.004620306,13.4935822379434,-28.4046865275831,6380802579077530534,1,934,449,9.029878,2.996898,21.51079,0.3604291,-999,-999,-999,-999,0.00105985,0.0001179642
6380802579077530499,0,1.1559795558703,GALEX J005405.8-282454,-28.4151000169588,-999,22.17334,-999,4.905293,0.01757039,False,-99,0.002620872,13.5244293521325,-28.4151000169588,6380802579077530499,1,899,449,4.905293,2.135443,22.17334,0.4727733,-999,-999,-999,-999,0.00105328,0.0001174874
6380802579077530550,0,1.28322365649901,GALEX J005357.0-282407,-28.4020200915406,-999,22.72675,-999,2.946444,0.018034,False,-99,0.002058195,13.4875342155354,-28.4020200915406,6380802579077530550,1,950,449,2.946444,1.456522,22.72675,0.5368448,-999,-999,-999,-999,0.001061545,0.0001181761
6380802579077530502,0,1.36079527073796,GALEX J005358.2-282453,-28.4147754527793,-999,22.30887,-999,4.329625,0.018034,False,-99,0.002445987,13.4926732305517,-28.4147754527793,6380802579077530502,1,902,449,4.329625,1.81687,22.30887,0.4557257,-999,-999,-999,-999,0.001056035,0.000117037
6380802579077530542,0,1.3827073457325,GALEX J005409.0-282410,-28.4029858561987,-999,22.45016,-999,3.801349,0.01876484,False,-99,0.001867119,13.5375564242599,-28.4029858561987,6380802579077530542,1,942,449,3.801349,1.798681,22.45016,0.5138618,-999,-999,-999,-999,0.001056035,0.000118494
6380802579077530547,0,1.52174403288567,GALEX J005409.7-282353,-28.3982863819147,-999,21.32662,-999,10.69922,0.01876484,False,-99,0.004701973,13.5404722735861,-28.3982863819147,6380802579077530547,1,947,449,10.69922,3.107543,21.32662,0.315424,-999,-999,-999,-999,0.001057307,0.0001188119
6380802579078582610,0,1.69097150962809,GALEX J005409.1-282300,-28.3834546228873,21.63759,-999,8.034657,-999,0.01915008,False,0.002838207,-99,13.5380543173577,-28.3834546228873,6380802579078582610,2,4434,449,-999,-999,-999,-999,8.034657,3.407417,21.63759,0.4605617,0.001062605,0.0001197921
6380802579077530443,0,1.72103630730327,GALEX J005404.0-282540,-28.4277837782872,-999,22.1071,-999,5.213875,0.01757039,False,-99,0.003104605,13.5166776195867,-28.4277837782872,6380802579077530443,1,843,449,5.213875,2.106852,22.1071,0.4388371,-999,-999,-999,-999,0.001052433,0.0001167456
6380802579077530498,0,1.73305265200749,GALEX J005355.9-282449,-28.4138619235707,-999,22.41085,-999,3.94149,0.01694031,False,-99,0.002146852,13.4832181005554,-28.4138619235707,6380802579077530498,1,898,449,3.94149,1.742617,22.41085,0.4801437,-999,-999,-999,-999,0.001057307,0.000116984
6380802579077530455,0,1.83010581347612,GALEX J005359.7-282540,-28.4277831400267,-999,21.83341,-999,6.708634,0.01757039,False,-99,0.003045144,13.4988558592735,-28.4277831400267,6380802579077530455,1,855,449,6.708634,3.112852,21.83341,0.5039114,-999,-999,-999,-999,0.001053704,0.0001162953
6380802579077530597,0,1.8640497068294,GALEX J005410.7-282319,-28.3887398295842,-999,22.45693,-999,3.777699,0.01876484,False,-99,0.001708195,13.5448253545026,-28.3887398295842,6380802579077530597,1,997,449,3.777699,1.68561,22.45693,0.4845735,-999,-999,-999,-999,0.001060274,0.0001195007
6380802579077530647,0,1.96127104292505,GALEX J005357.1-282226,-28.3740332823152,-999,22.62969,-999,3.221977,0.018034,False,-99,0.001124838,13.4882921962302,-28.3740332823152,6380802579077530647,1,1047,449,3.221977,1.612464,22.62969,0.5434973,-999,-999,-999,-999,0.001072142,0.0001208252
6380802579077530476,0,2.03920021135554,GALEX J005355.6-282515,-28.4210228252194,-999,22.85416,-999,2.620209,0.01694031,False,-99,0.002476287,13.4818210446417,-28.4210228252194,6380802579077530476,1,876,449,2.620209,1.751493,22.85416,0.7259424,-999,-999,-999,-999,0.0010554,0.0001163483
6380802579077530429,0,2.15053665842957,GALEX J005358.3-282553,-28.4314357178112,-999,20.68165,-999,19.37938,0.01660254,False,-99,0.004176401,13.4933034811481,-28.4314357178112,6380802579077530429,1,829,449,19.37938,3.482715,20.68165,0.1951676,-999,-999,-999,-999,0.001053704,0.0001159244
6380802579079627739,0,2.16614243651914,GALEX J005410.7-282241,-28.3782743142547,19.75352,19.20278,45.5611,75.66402,0.01915008,False,0.004120909,0.006018626,13.5449151684792,-28.3782743142547,6380802579079627739,3,987,449,75.66402,6.420486,19.20278,0.09215275,45.5611,7.313566,19.75352,0.174327,0.001063665,0.000120163
6380802579077530578,0,2.22435535557139,GALEX J005352.9-282327,-28.3908393581283,-999,22.04547,-999,5.51839,0.018034,False,-99,0.003337738,13.4706769400791,-28.3908393581283,6380802579077530578,1,978,449,5.51839,2.237984,22.04547,0.4404276,-999,-999,-999,-999,0.001067903,0.0001189444
6380802579077530432,0,2.35979226870988,GALEX J005408.1-282600,-28.4334793715748,-999,22.42487,-999,3.890904,0.01757039,False,-99,0.002867202,13.5340708063683,-28.4334793715748,6380802579077530432,1,832,449,3.890904,1.871962,22.42487,0.5224882,-999,-999,-999,-999,0.001051161,0.0001170105
6380802579077530465,0,2.38022536579071,GALEX J005411.6-282520,-28.4224141830716,-999,22.06264,-999,5.431808,0.01876484,False,-99,0.001071502,13.5484394195987,-28.4224141830716,6380802579077530465,1,865,449,5.431808,2.628276,22.06264,0.5254802,-999,-999,-999,-999,0.001051161,0.0001176993
6380802579077530445,0,2.44813056170899,GALEX J005354.8-282541,-28.4280997667502,-999,21.70958,-999,7.519138,0.01660254,False,-99,0.001517041,13.4786502975782,-28.4280997667502,6380802579077530445,1,845,449,7.519138,2.36295,21.70958,0.3412842,-999,-999,-999,-999,0.00105434,0.000115739
6380802579077530493,0,2.49747449261268,GALEX J005351.5-282418,-28.4052207938936,-999,22.57185,-999,3.398274,0.01694031,False,-99,0.00280981,13.4648079779311,-28.4052207938936,6380802579077530493,1,893,449,3.398274,1.822461,22.57185,0.5824109,-999,-999,-999,-999,0.001061122,0.0001173814
6380802579077530474,0,2.51619898818811,GALEX J005352.8-282511,-28.4199377095691,-999,22.21463,-999,4.722255,0.01694031,False,-99,0.002320959,13.470074724243,-28.4199377095691,6380802579077530474,1,874,449,4.722255,2.058912,22.21463,0.4734981,-999,-999,-999,-999,0.001054552,0.0001161098
6380802579077530630,0,2.51922760410191,GALEX J005412.6-282240,-28.3779403592448,-999,21.61093,-999,8.234288,0.01915008,False,-99,0.001470739,13.5526649541632,-28.3779403592448,6380802579077530630,1,1030,449,8.234288,2.481284,21.61093,0.3272505,-999,-999,-999,-999,0.001064089,0.0001204279
6380802579077530705,0,2.56628105298306,GALEX J005407.1-282134,-28.3596835802807,-999,21.89519,-999,6.33757,0.01915008,False,-99,0.003679215,13.5295985779066,-28.3596835802807,6380802579077530705,1,1105,449,6.33757,2.472431,21.89519,0.4236734,-999,-999,-999,-999,0.001072778,0.0001210901
6380802579077530623,0,2.60082446756701,GALEX J005352.0-282253,-28.381504035936,-999,22.77099,-999,2.828804,0.01901904,False,-99,0.002206684,13.4668126381701,-28.381504035936,6380802579077530623,1,1023,449,2.828804,1.556696,22.77099,0.5976278,-999,-999,-999,-999,0.001073413,0.0001198451
6380802579079627707,0,2.60285452118042,GALEX J005414.5-282340,-28.394489573664,20.01939,19.91241,35.66522,39.3583,0.01876484,False,0.0008500781,0.002885399,13.5606626211798,-28.394489573664,6380802579079627707,3,955,449,39.3583,4.600179,19.91241,0.1269312,35.66522,6.415944,20.01939,0.1953644,0.001059214,0.0001196596
6380802579077530716,0,2.65706890671097,GALEX J005400.9-282120,-28.3556554655055,-999,22.31343,-999,4.311502,0.01932462,False,-99,0.00127341,13.5041282432428,-28.3556554655055,6380802579077530716,1,1116,449,4.311502,2.332795,22.31343,0.5875947,-999,-999,-999,-999,0.001078288,0.0001214345
6380802579077530422,0,2.71167289877757,GALEX J005410.2-282607,-28.4355063238924,-999,21.88143,-999,6.418395,0.01694987,False,-99,0.003047022,13.5426368011134,-28.4355063238924,6380802579077530422,1,822,449,6.418395,2.35628,21.88143,0.3986853,-999,-999,-999,-999,0.001050737,0.0001172225
6380802579077530481,0,2.78675302305325,GALEX J005414.5-282500,-28.4167477725333,-999,21.70048,-999,7.582391,0.01876484,False,-99,0.003579119,13.560671257771,-28.4167477725333,6380802579077530481,1,881,449,7.582391,2.492676,21.70048,0.3570176,-999,-999,-999,-999,0.001052433,0.0001183351
6380802579077530549,0,3.0678297479919,GALEX J005416.7-282407,-28.4020923476443,-999,22.36525,-999,4.110538,0.01876484,False,-99,0.002933396,13.5697182100281,-28.4020923476443,6380802579077530549,1,949,449,4.110538,1.947201,22.36525,0.5144485,-999,-999,-999,-999,0.001057307,0.0001195272
6380802579077530449,0,3.0755760058406,GALEX J005414.4-282539,-28.4277585921039,-999,22.18254,-999,4.863866,0.01778331,False,-99,0.00306433,13.5602491423087,-28.4277585921039,6380802579077530449,1,849,449,4.863866,1.992322,22.18254,0.4448439,-999,-999,-999,-999,0.001052221,0.0001179642
6380802579077530383,0,3.11317657920154,GALEX J005358.3-282655,-28.4486737339632,-999,22.49389,-999,3.651285,0.01660254,False,-99,0.002080184,13.4930474484958,-28.4486737339632,6380802579077530383,1,783,449,3.651285,1.474212,22.49389,0.4384741,-999,-999,-999,-999,0.001052433,0.0001148648
6380802579077530676,0,3.2466908464219,GALEX J005350.9-282201,-28.3671972285535,-999,22.75472,-999,2.871513,0.01901904,False,-99,0.002191086,13.4622757582966,-28.3671972285535,6380802579077530676,1,1076,449,2.871513,1.865742,22.75472,0.7056196,-999,-999,-999,-999,0.001082102,0.0001212226
6380802579077530752,0,3.40682786156337,GALEX J005357.9-282043,-28.3455253460504,-999,22.10401,-999,5.22872,0.01932462,False,-99,0.003437305,13.4914274100584,-28.3455253460504,6380802579077530752,1,1152,449,5.22872,2.271678,22.10401,0.4718253,-999,-999,-999,-999,0.001084858,0.00012162
6380802579077530381,0,3.43558798174808,GALEX J005410.5-282657,-28.4492754352008,-999,22.48808,-999,3.670866,0.01694987,False,-99,0.001533851,13.5437330933828,-28.4492754352008,6380802579077530381,1,781,449,3.670866,1.481259,22.48808,0.4382202,-999,-999,-999,-999,0.001050737,0.000116984
6380802579079627656,0,3.43842581521006,GALEX J005347.2-282340,-28.3946552503701,19.54555,19.05549,55.17986,86.6566,0.01790327,False,0.001424412,0.001616788,13.4467515630067,-28.3946552503701,6380802579079627656,3,904,449,86.6566,6.171321,19.05549,0.07734039,55.17986,7.728105,19.54555,0.1520976,0.001068539,0.0001180702
6380802579077530594,0,3.46958139322421,GALEX J005418.3-282322,-28.3896380111013,-999,22.16373,-999,4.948873,0.01883356,False,-99,0.002200427,13.5764533845611,-28.3896380111013,6380802579077530594,1,994,449,4.948873,1.964241,22.16373,0.4310407,-999,-999,-999,-999,0.001061334,0.0001204809
6380802579077530707,0,3.53281662047514,GALEX J005351.3-282129,-28.3582830556971,-999,22.07073,-999,5.391487,0.01901904,False,-99,0.003056437,13.4638116494023,-28.3582830556971,6380802579077530707,1,1107,449,5.391487,2.195291,22.07073,0.4421945,-999,-999,-999,-999,0.001086341,0.0001215405
6380802579077530680,0,3.5344121163929,GALEX J005415.9-282156,-28.3656216524781,-999,22.42509,-999,3.890142,0.01937701,False,-99,0.001896004,13.5664921042323,-28.3656216524781,6380802579077530680,1,1080,449,3.890142,1.890392,22.42509,0.5277354,-999,-999,-999,-999,0.001068115,0.000121567
6380802579077530708,0,3.53600602962052,GALEX J005414.3-282130,-28.3584175559444,-999,22.44486,-999,3.81992,0.01937701,False,-99,0.002540895,13.5597615150318,-28.3584175559444,6380802579077530708,1,1108,449,3.81992,1.763384,22.44486,0.5013286,-999,-999,-999,-999,0.001071506,0.0001212756
6380802579079627441,0,3.55072568546925,GALEX J005407.5-282721,-28.4560117831223,20.42286,21.14517,24.59552,12.64537,0.01694987,False,0.002307302,0.003608258,13.5314230771042,-28.4560117831223,6380802579079627441,3,689,449,12.64537,2.971828,21.14517,0.2552243,24.59552,5.7169,20.42286,0.2524262,0.001050949,0.0001162158
6380802579077530434,0,3.55962605085419,GALEX J005416.4-282553,-28.431562841227,-999,21.74268,-999,7.293375,0.01778331,False,-99,0.003576218,13.5683806384887,-28.431562841227,6380802579077530434,1,834,449,7.293375,3.165029,21.74268,0.47128,-999,-999,-999,-999,0.001053068,0.0001181232
6380802579077530357,0,3.60420530412394,GALEX J005356.6-282718,-28.4551649806696,-999,22.35133,-999,4.163598,0.01660254,False,-99,0.001548068,13.4861636626864,-28.4551649806696,6380802579077530357,1,757,449,4.163598,2.049842,22.35133,0.5346645,-999,-999,-999,-999,0.001052221,0.0001140965
6380802579078582573,0,3.65169799089888,GALEX J005412.0-282700,-28.4500201579951,21.88131,-999,6.419154,-999,0.01694987,False,0.00245488,-99,13.5501596525058,-28.4500201579951,6380802579078582573,2,4397,449,-999,-999,-999,-999,6.419154,2.996529,21.88131,0.5069563,0.001051373,0.00011709
6380802579077530638,0,3.66216711523437,GALEX J005347.2-282238,-28.3772441806641,-999,22.59411,-999,3.329333,0.01790327,False,-99,0.0005543905,13.4470407185508,-28.3772441806641,6380802579077530638,1,1038,449,3.329333,1.531892,22.59411,0.4996902,-999,-999,-999,-999,0.001080407,0.000119951
6380802579077530627,0,3.7093010579786,GALEX J005346.8-282246,-28.3797011172433,-999,22.60629,-999,3.29218,0.01790327,False,-99,0.0009689067,13.4450751703244,-28.3797011172433,6380802579077530627,1,1027,449,3.29218,1.608565,22.60629,0.5306217,-999,-999,-999,-999,0.001079347,0.0001196331
6380802579077530436,0,3.7425457774408,GALEX J005348.3-282556,-28.4324692158982,-999,22.48139,-999,3.693558,0.01694031,False,-99,0.002595324,13.45150827943,-28.4324692158982,6380802579077530436,1,836,449,3.693558,1.762599,22.48139,0.5182489,-999,-999,-999,-999,0.001051373,0.0001146793
6380802579079627946,0,3.84539356205951,GALEX J005400.0-282010,-28.3361520055498,21.28096,20.28848,11.15877,27.83618,0.01932462,False,0.002522273,0.003679109,13.5001840850598,-28.3361520055498,6380802579079627946,3,1194,449,27.83618,4.110625,20.28848,0.1603718,11.15877,3.577545,21.28096,0.3481757,0.001088884,0.000121408
6380802579077530792,0,3.99502358992389,GALEX J005411.2-282025,-28.3405467482495,-999,22.93111,-999,2.440934,0.01937701,False,-99,0.001876609,13.5469742128748,-28.3405467482495,6380802579077530792,1,1192,449,2.440934,2.102251,22.93111,0.9353161,-999,-999,-999,-999,0.001081467,0.0001205868
6380802579077530601,0,4.05098333973731,GALEX J005420.9-282315,-28.3875450005005,-999,22.82866,-999,2.682465,0.01883356,False,-99,0.002055833,13.5872186052699,-28.3875450005005,6380802579077530601,1,1001,449,2.682465,1.398706,22.82866,0.5662681,-999,-999,-999,-999,0.001062181,0.0001209577
